salary,pcsalary,sales,roe,pcroe,ros,indus,finance,consprod,utility,lsalary,lsales
453,20,175.1999969,26.20000076,35.59999847,418,0,0,1,0,6.115891933,5.165928364
1130,1,1686.300049,44.5,3.400000095,99,0,0,1,0,7.02997303,7.43029213
1334,13,514.0999756,22.29999924,62.40000153,358,0,0,1,0,7.195937157,6.242417812
1344,13,3032.699951,22.29999924,62.40000153,36,0,0,1,0,7.20340538,8.017208099
1585,5,4686.899902,35.09999847,2.200000048,111,0,0,1,0,7.368339539,8.452527046
1946,45,8388.099609,13.10000038,5.900000095,88,0,0,1,0,7.573531151,9.03456974
1619,9,7632.799805,11,22.60000038,32,0,0,1,0,7.389564037,8.940210342
1620,12,17453.80078,19.39999962,-12.80000019,128,0,0,1,0,7.390181541,9.767313004
967,-27,5781.100098,28.5,-11,119,0,0,1,0,6.874198437,8.662349701
1431,0,6896.200195,43.90000153,3.5,110,0,0,1,0,7.266129017,8.838726044
1231,9,6503.100098,26.79999924,19.79999924,84,0,0,1,0,7.115581989,8.780034065
770,-4,2715.600098,15.69999981,-2.5,63,0,0,1,0,6.646390438,7.906768322
1594,53,2761.899902,15,27.79999924,85,0,0,1,0,7.37400198,7.923674107
1568,47,5181.399902,28.20000076,-19.10000038,55,0,0,1,0,7.357556343,8.552830696
995,15,1323,15.39999962,74.59999847,195,0,0,1,0,6.902742863,7.187657356
1077,-16,5296,20,27.5,36,0,0,1,0,6.981934547,8.574707031
1161,9,7177,42.20000076,-2.799999952,68,0,0,1,0,7.057036877,8.87863636
1401,1,12183.5,19.60000038,-2.099999905,93,0,0,1,0,7.244941711,9.407837868
1127,4,7863.5,16.20000076,26,152,0,0,1,0,7.027314663,8.969986916
3068,-14,3825.600098,21.5,-27.60000038,142,0,0,1,0,8.028780937,8.249470711
730,7,1110.599976,29.5,20.5,60,0,0,1,0,6.593044758,7.012655735
729,-10,1391.300049,22.60000038,-17.20000076,32,0,0,1,0,6.591673851,7.237993717
11233,17,6047.899902,22.89999962,9.899999619,74,0,0,1,0,9.326611519,8.707466125
949,-11,18908,13,-46.70000076,-3,0,0,1,0,6.855408669,9.847340584
3646,-11,3921.5,7.800000191,-64.19999695,29,0,0,1,0,8.201385498,8.27422905
1502,212,3453.800049,48.09999847,35.09999847,28,0,0,1,0,7.314552784,8.147230148
807,10,1558.5,18,-1,49,0,0,1,0,6.693323612,7.351479053
713,8,962.7999878,18,7.599999905,81,0,0,1,0,6.569481373,6.869845867
1489,0,25848,21.70000076,380.6000061,114,0,0,1,0,7.305860043,10.1599884
736,73,631.5,21.29999924,60.79999924,71,0,0,1,0,6.601230145,6.448097706
1226,53,1728.900024,26.89999962,-7.099999905,84,0,0,1,0,7.111512184,7.455240726
543,112,2669.300049,30.5,24.89999962,323,0,0,1,0,6.297109127,7.889571667
14822,1,2159.199951,19.39999962,-37.29999924,17,0,0,1,0,9.603867531,7.677493095
890,-18,2612.600098,15.60000038,-49,-14,0,0,1,0,6.791221619,7.86810112
1627,6,8270.299805,19.39999962,-3.700000048,104,0,0,1,0,7.394493103,9.020425797
2408,28,44323,29.10000038,9.800000191,160,0,0,1,0,7.786551952,10.6992588
2248,6,764.7000122,40.79999924,44.40000153,191,0,0,1,0,7.717796326,6.639483452
787,20,5167.5,13.69999981,-4,34,0,0,0,1,6.668228149,8.550144196
474,-5,2159.300049,11.10000038,-58.20000076,16,0,0,0,1,6.161207199,7.677539349
439,7,2617.100098,10.80000019,-16.10000038,65,0,0,0,1,6.084499359,7.869822025
465,11,2367.699951,5.099999905,-25,43,0,0,0,1,6.142037392,7.769674301
594,33,2744,12.30000019,-12.19999981,76,0,0,0,1,6.386879444,7.917171955
688,-6,2357.899902,7.400000095,-9.699999809,33,0,0,0,1,6.533788681,7.765526772
607,12,5262,6.199999809,-94.80000305,59,0,0,0,1,6.408528805,8.568266869
634,44,5738.899902,12.69999981,-7,38,0,0,0,1,6.452048779,8.655022621
532,2,2714.899902,10.60000038,-21.20000076,35,0,0,0,1,6.276643276,7.906510353
441,39,3306.699951,7.400000095,13,150,0,0,0,1,6.089045048,8.10370636
694,18,3532.5,12.60000038,-13.80000019,37,0,0,0,1,6.542471886,8.169760704
520,-6,3681.5,12.80000019,-7.699999809,64,0,0,0,1,6.253829002,8.211075783
757,12,3982.100098,2.900000095,45.40000153,197,0,0,0,1,6.62936306,8.289565086
668,30,2996,13.5,-3.299999952,81,0,0,0,1,6.504288197,8.005033493
803,18,4178.600098,10.69999981,-29.89999962,52,0,0,0,1,6.688354492,8.337731361
500,3,2616.300049,11.89999962,-1.299999952,25,0,0,0,1,6.214608192,7.869516373
552,-5,2064.5,12.89999962,-16.79999924,37,0,0,0,1,6.313548088,7.632643223
412,-5,2225.5,10.10000038,-27.39999962,13,0,0,0,1,6.021023273,7.707736969
1100,58,9470.099609,7.300000191,76.59999847,82,0,0,0,1,7.003065586,9.155894279
959,26,3783.199951,14.60000038,5,65,0,0,0,1,6.86589098,8.238325119
333,34,2388.699951,13.80000019,6.5,59,0,0,0,1,5.808142662,7.778504372
503,-19,3705.199951,8.899999619,-96.80000305,29,0,0,0,1,6.220590115,8.217492104
448,-8,1411.699951,14,-33.5,14,0,0,0,1,6.104793072,7.252550125
732,7,4800.100098,12.89999962,-11.19999981,36,0,0,0,1,6.595780373,8.476391792
720,8,1771.900024,14.5,13.60000038,78,0,0,0,1,6.579251289,7.479807854
808,-16,7198.5,14.69999981,7.400000095,49,0,0,0,1,6.694561958,8.881628036
930,10,1509.099976,9,20.5,131,0,0,0,1,6.835184574,7.319268703
525,3,1097.099976,15.5,20.10000038,72,0,0,0,1,6.26339817,7.000425816
658,32,4542.600098,12.10000038,-7.800000191,68,0,0,0,1,6.489204884,8.421255112
555,6,2023,13.69999981,-14.60000038,60,0,0,0,1,6.318968296,7.612336636
626,0,1442.5,14.39999962,-10.19999981,62,0,0,0,1,6.439350605,7.274133205
